R.U.T.,Entidad,Vigencia,URL Ficha,rut,nombre_razon_social,nombre_fantasia,vigencia,tipo_persona,numero_inscripcion,tipo_doc_nombramiento,nro_doc_nombramiento,fecha_doc_nombramiento,telefono,domicilio,comuna,ciudad,region,casilla,url_ficha
76153122-0,A & H PRODUCTORA DE SEGUROS LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76153122&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAHrAAL&control=svs&pestania=1,76153122-0,A & H PRODUCTORA DE SEGUROS LIMITADA,"""A& H LTDA.""",Corredor No Previs. Con Registro Vigente,Persona Jurídica,7034,Certificado,,2011-09-29,,LIBERTAD 269 OF.904,,VINA DEL MAR,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76153122&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAHrAAL&control=svs&pestania=1
76406444-5,A & S CORREDORES DE SEGUROS ASOCIADOS LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76406444&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAH9AAI&control=svs&pestania=1,76406444-5,A & S CORREDORES DE SEGUROS ASOCIADOS LIMITADA,A&S CORREDORES DE SEGUROS ASOCIADOS LTDA,Corredor No Previs. Con Registro Vigente,Persona Jurídica,7645,Certificado,,2014-10-14,,DUBLE ALMEYDA 4536 DPTO. 205,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76406444&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAH9AAI&control=svs&pestania=1
76226644-K,A&V CORREDORES DE SEGUROS LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76226644&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAH2AAT&control=svs&pestania=1,76226644-K,A&V CORREDORES DE SEGUROS LIMITADA,A&V CORREDORES DE SEGUROS,Corredor No Previs. Con Registro Vigente,Persona Jurídica,7260,Certificado,,2013-01-10,,1 ORIENTE 985 OF. 4,,VINA DEL MAR,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76226644&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAH2AAT&control=svs&pestania=1
77561270-3,ABCDIN CORREDORES DE SEGUROS LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77561270&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO8AAD&control=svs&pestania=1,77561270-3,ABCDIN CORREDORES DE SEGUROS LIMITADA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8315,Certificado,,2018-05-18,,"NUEVA DE LYON N 72, PISOS 5 Y 6",,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77561270&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO8AAD&control=svs&pestania=1
77830800-2,ACTIVIDADES DE MERCADO DIRECTO LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77830800&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOdAAB&control=svs&pestania=1,77830800-2,ACTIVIDADES DE MERCADO DIRECTO LIMITADA,CALLMARK LTDA.,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8399,Certificado,,2018-10-08,,ALAMEDA 929 PISO 11,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77830800&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOdAAB&control=svs&pestania=1
77094262-4,ACTUM CORREDORA DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77094262&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO+AAN&control=svs&pestania=1,77094262-4,ACTUM CORREDORA DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8732,Certificado,,2020-04-30,,LOS ALPES 960 DEPTO 807 - B,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77094262&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO+AAN&control=svs&pestania=1
78022109-7,ACUHER CORREDORA DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=78022109&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPaAAN&control=svs&pestania=1,78022109-7,ACUHER CORREDORA DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9897,Certificado,,2025-04-24,,"PROVIDENCIA N°1208, OFICINA 1603, PISO 16",,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=78022109&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPaAAN&control=svs&pestania=1
76551724-9,AD CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76551724&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOJAAY&control=svs&pestania=1,76551724-9,AD CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,7956,Certificado,,2016-06-14,,TALCAN 8641 CONDOMINIO ENSENADA,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76551724&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOJAAY&control=svs&pestania=1
76351294-0,ADDWISE CORREDORES DE SEGUROS S.A.,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76351294&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWODAAR&control=svs&pestania=1,76351294-0,ADDWISE CORREDORES DE SEGUROS S.A.,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,7492,Certificado,,2014-03-06,,LA CAPITANIA 80 OFICINA 215,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76351294&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWODAAR&control=svs&pestania=1
76245107-7,ADN SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76245107&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAH1AAY&control=svs&pestania=1,76245107-7,ADN SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,7304,Certificado,,2013-04-16,,DON CARLOS 3269,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76245107&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAH1AAY&control=svs&pestania=1
76993080-9,ADS CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76993080&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOeAAE&control=svs&pestania=1,76993080-9,ADS CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8680,Certificado,,2020-01-31,,LAUTARO NAVARRO #1139,,PUNTA ARENAS,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76993080&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOeAAE&control=svs&pestania=1
76049617-0,"ADVISOR CORREDORES DE SEGUROS, ASISTENCIAS Y SERVICIOS PROFE",VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76049617&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAHhAAa&control=svs&pestania=1,76049617-0,"ADVISOR CORREDORES DE SEGUROS, ASISTENCIAS Y SERVICIOS PROFE",ADVISOR CORREDORES DE SEGUROS LTDA.,Corredor No Previs. Con Registro Vigente,Persona Jurídica,6699,Certificado,,2009-04-16,,AV PARQUE NORTE 151 CASA 98,,VALPARAISO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76049617&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAHhAAa&control=svs&pestania=1
77958984-6,AE CORREDORES DE SEGUROS LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77958984&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPqAAH&control=svs&pestania=1,77958984-6,AE CORREDORES DE SEGUROS LIMITADA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9751,Certificado,,2024-09-05,,SANTA BLANCA 1383,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77958984&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPqAAH&control=svs&pestania=1
77266187-8,AF CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77266187&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO6AAT&control=svs&pestania=1,77266187-8,AF CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9000,Certificado,,2021-12-07,,VIANA 915 OF. 211 ED. SUN CITY 3,,VIÑA DEL MAR,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77266187&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO6AAT&control=svs&pestania=1
77580055-0,AFFA CORREDORES DE SEGUROS LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77580055&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOhAAY&control=svs&pestania=1,77580055-0,AFFA CORREDORES DE SEGUROS LIMITADA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9463,Certificado,,2023-07-07,,"PEREZ ROSALES PASAJE B 130, VILLA VILLA PEREZ ROSALES",,VALDIVIA,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77580055&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOhAAY&control=svs&pestania=1
77119684-5,AGALLAS CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77119684&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOlAAK&control=svs&pestania=1,77119684-5,AGALLAS CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8747,Certificado,,2020-06-25,,LOS LEONES 220.,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77119684&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOlAAK&control=svs&pestania=1
76792953-6,AGENCIA GENERAL CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76792953&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOrAAJ&control=svs&pestania=1,76792953-6,AGENCIA GENERAL CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8490,Certificado,,2019-03-20,,AV. PORTUGAL 20 OF 57,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76792953&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOrAAJ&control=svs&pestania=1
88472100-8,AGENCIAS BRINER CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=88472100&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAGiAAZ&control=svs&pestania=1,88472100-8,AGENCIAS BRINER CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8,Circular,111,1981-12-30,,PARTENON 1775 DEPTO. 201,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=88472100&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAGiAAZ&control=svs&pestania=1
76696637-3,AGS CORREDORES DE SEGUROS LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76696637&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOGAAN&control=svs&pestania=1,76696637-3,AGS CORREDORES DE SEGUROS LIMITADA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8135,Certificado,,2017-05-31,,LUIS EMILIO RECABARREN 5391,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76696637&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOGAAN&control=svs&pestania=1
77395963-3,AIB CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77395963&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO4AAZ&control=svs&pestania=1,77395963-3,AIB CORREDORES DE SEGUROS SPA,AIB CORREDORES DE SEGUROS SPA,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9073,Certificado,,2022-02-18,,"HUERFANOS N°1055, OFICINA 503",,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77395963&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO4AAZ&control=svs&pestania=1
77494227-0,AJM CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77494227&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOrAAb&control=svs&pestania=1,77494227-0,AJM CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9101,Certificado,,2022-03-29,,SAN SEBASTIAN 2839 OF 304,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77494227&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOrAAb&control=svs&pestania=1
76539827-4,AJS CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76539827&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOUAAG&control=svs&pestania=1,76539827-4,AJS CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,7864,Certificado,,2015-11-19,,LIBERTADOR BERNARDO OHIGGINS 420 OF 91,,CONCEPCION,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76539827&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWOUAAG&control=svs&pestania=1
76882448-7,ALB CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76882448&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO%2FAAI&control=svs&pestania=1,76882448-7,ALB CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,8394,Certificado,,2018-09-25,,"MALAGA 115, OFICINA 1005",,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76882448&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO%2FAAI&control=svs&pestania=1
77522382-0,ALBA CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77522382&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO3AAa&control=svs&pestania=1,77522382-0,ALBA CORREDORES DE SEGUROS SPA,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9277,Certificado,,2022-10-28,,FUNDO SANTA GABRIELA LOTA A N° 2,,PARRAL,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=77522382&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWO3AAa&control=svs&pestania=1
76122573-1,ALBERTO BRUNO GONZALEZ CH. CORREDORES DE SEGUROS LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76122573&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPPAAB&control=svs&pestania=1,76122573-1,ALBERTO BRUNO GONZALEZ CH. CORREDORES DE SEGUROS LIMITADA,ABG CORREDORES DE SEGUROS LTDA.,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9496,Certificado,,2023-08-11,,AVENIDA A POQUINDO 4100 OFICINA 401,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76122573&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPPAAB&control=svs&pestania=1
76946510-3,ALBERTO OYARZUN SCHOLTBACH CORREDOR DE SEGUROS E.I.R.L.,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76946510&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAHnAAc&control=svs&pestania=1,76946510-3,ALBERTO OYARZUN SCHOLTBACH CORREDOR DE SEGUROS E.I.R.L.,,Corredor No Previs. Con Registro Vigente,Persona Jurídica,6501,Certificado,,2007-12-07,,QUILLOTA 175 OF.1303,,PUERTO MONTT,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76946510&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAHnAAc&control=svs&pestania=1
78017894-9,ALDEA CORREDORES DE SEGUROS SPA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=78017894&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPDAAC&control=svs&pestania=1,78017894-9,ALDEA CORREDORES DE SEGUROS SPA,ALDEA CORREDORES DE SEGUROS,Corredor No Previs. Con Registro Vigente,Persona Jurídica,9905,Certificado,,2025-05-06,,"CAMPOS N°535, OFICINA 6",,RANCAGUA,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=78017894&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAWPDAAC&control=svs&pestania=1
76079087-7,ALEJANDRA LYON Y COMPAÑIA LIMITADA,VI,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76079087&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAHmAAX&control=svs&pestania=1,76079087-7,ALEJANDRA LYON Y COMPAÑIA LIMITADA,ALEJANDRA LYON Y CIA. LTDA.,Corredor No Previs. Con Registro Vigente,Persona Jurídica,6904,Certificado,,2010-08-18,,AVDA. 11 DE SEPTIEMBRE 1945 OFICINA 911,,SANTIAGO,,,https://www.cmfchile.cl/institucional/mercados/entidad.php?auth=&send=&mercado=S&rut=76079087&grupo=&tipoentidad=CSJUR&vig=VI&row=AAAwU3AAWAAAAHmAAX&control=svs&pestania=1
